ID,GAIA_DR3_source_id,ra,dec,phot_g_mean_mag,parallax_corr,parallax_error_corr,bp_rp,l,b,Porb_days,Egr,Egr_err,g_variability_amplitude_percent,g_variability_amplitude_percent_error,g_intrinsic_scatter_percent,has_eclipses?,has_emission?,Teff_spec_only,Teff_error_spec_only,logg_spec_only,FeH_spec,FeH_error_spec,Theta_microas_spec_plus_sed,Theta_error_microas_spec_plus_sed,Ebv_sed_and_spec,Ebv_err_sed_and_spec,K_proto_WD_kms,K_proto_WD_err_kms,T0_MHJD_UTC,M_proto_WD_Msun,M_proto_WD_lower_error_Msun,M_proto_WD_upper_error_Msun,R_proto_WD_Rsun,R_proto_WD_lower_error_Rsun,R_proto_WD_upper_error_Rsun,logg_proto_WD,logg_proto_WD_lower_error,logg_proto_WD_upper_error,M_WD,M_WD_lower_error,M_WD_upper_error,inc_deg,inc_deg_lower_error,inc_deg_upper_error,tau_inspiral_gyr,tau_inspiral_gyr_lower_error,tau_inspiral_gyr_upper_error,inc_min_deg,f_proto_WD_min
P_2.00a,4393660804037754752,258.29232656,6.28875499,16.71194839477539,1.53,0.06,0.5089168548583984,27.186816086168033,24.692142807122014,0.08331301,0.14531169,0.00625788,18.9,0.5,0.5,False,False,7646,100,5.09,-0.58,0.2,2.44,0.04,0.14,0.01,369,10,56410.887,0.126,0.024,0.034,0.172,0.007,0.007,5.06,0.071,0.102,0.979,0.211,0.182,55.49,5.33,14.142,0.53,0.078,0.093,46,0.82
P_2.74a,861540207303947776,165.09136091,60.47386976,16.586103439331055,2.96,0.04,1.2203645706176758,144.67972852707751,51.707772069630195,0.11414278,0.019987,0.01319383,44.5,1.3,5.8,True,True,5023,300,4.77,0.12,0.4,6.37,0.11,0.02,0.01,320,13,56489.326,0.134,0.009,0.009,0.232,0.005,0.005,4.836,0.01,0.009,0.615,0.058,0.065,79.76,6.754,7.0,1.59,0.156,0.176,70,1.0
P_3.03a,1030236970683510784,130.01572604,53.35968812,17.551042556762695,1.01,0.11,0.8241291046142578,164.92308856013753,37.46672202528818,0.12642666,0.02,0.0086,26.9,1.2,3.2,False,True,6096,200,4.85,-0.4,0.3,2.44,0.05,0.02,0.01,321,12,56473.433,0.167,0.047,0.07,0.267,0.028,0.033,4.809,0.048,0.05,0.768,0.113,0.144,73.1,9.924,11.286,1.45,0.487,0.678,59,1.0
P_3.06a,2133938077063469696,284.25246948,51.07045515,17.815446853637695,0.94,0.08,0.8656902313232422,80.99885641490775,19.945343669177603,0.1274832,0.04,0.0018,24.3,1.0,6.7,True,True,5776,200,4.7,-0.02,0.3,2.34,0.05,0.04,0.01,269,9,58693.285,0.177,0.04,0.055,0.275,0.023,0.027,4.809,0.035,0.036,0.506,0.056,0.064,79.49,6.609,7.09,1.91,0.53,0.67,70,1.0
P_3.13a,4228735155086295552,311.4256385,1.61633089,16.06232452392578,1.59,0.06,0.6924057006835938,48.406965596723765,-24.36432976070683,0.13056512,0.08,0.0018,31.1,1.7,5.3,False,False,6331,100,4.65,0.25,0.2,4.11,0.06,0.08,0.01,325,16,56431.158,0.182,0.02,0.024,0.279,0.011,0.012,4.806,0.018,0.019,0.744,0.081,0.088,83.66,2.747,4.651,1.49,0.224,0.255,76,0.98
P_3.21a,45968897530496384,62.05732001,16.87127127,17.14938735961914,1.23,0.09,1.0183086395263672,176.05494668178804,-25.09968022035969,0.13375228,0.41918961,0.00856472,24.1,1.0,2.8,False,False,7051,100,4.85,0.25,0.2,3.47,0.06,0.41,0.01,333,11,56454.278,0.242,0.048,0.063,0.309,0.022,0.025,4.842,0.035,0.036,0.945,0.094,0.104,71.56,3.181,7.293,1.02,0.243,0.295,64,0.95
P_3.43a,184406722957533440,81.1562155,37.00916022,16.791873931884766,1.73,0.08,1.0603351593017578,170.8324891395189,0.6682554042148849,0.1429875,0.26237703,0.01623547,31.2,1.1,4.2,True,True,5836,200,4.84,0.01,0.3,4.12,0.07,0.25,0.02,290,7,58718.598,0.119,0.016,0.019,0.259,0.012,0.013,4.689,0.021,0.021,0.568,0.042,0.047,79.21,6.439,7.31,3.43,0.556,0.642,70,1.0
P_3.48a,4002359459116052864,183.83872439,24.79671116,17.133968353271484,1.05,0.09,0.6364192962646484,226.95980204934537,81.56359938900752,0.14479504,0.005,0.01,24.9,1.0,3.7,False,True,6412,100,4.65,-0.26,0.2,2.46,0.04,0.01,0.01,275,6,56350.953,0.113,0.026,0.035,0.256,0.022,0.024,4.673,0.039,0.039,0.535,0.064,0.087,73.9,10.571,11.048,3.89,1.06,1.42,59,1.0
P_3.53a,1965375973804679296,320.85191812,39.81424629,16.55788803100586,1.76,0.05,1.0319862365722656,85.31055513764983,-7.402657500986693,0.146883,0.00926443,0.02593843,35.9,0.7,2.5,True,True,5830,200,4.7,-0.2,0.3,5.14,0.07,0.03,0.02,315,31,58717.743,0.204,0.018,0.02,0.315,0.01,0.01,4.75,0.013,0.014,0.83,0.165,0.193,79.66,6.669,6.965,1.69,0.286,0.371,70,1.0
P_3.81a,373857386785825408,14.06546751,39.44774019,17.354721069335938,0.68,0.11,0.6324005126953125,123.94673470411509,-23.414504419061625,0.1586339,0.04,0.0068,28.0,0.6,2.4,False,True,6665,100,4.86,-0.3,0.2,2.12,0.04,0.04,0.01,324,6,56437.637,0.242,0.09,0.163,0.351,0.051,0.067,4.731,0.067,0.071,0.963,0.126,0.175,78.34,7.706,7.76,1.59,0.709,1.114,67,1.0
